code_site;code_site_2;code_triplet;site;sous_site;peuplement;num_sous_site;position_n;position_e;altitude;exposition;pente;standArea;nTrees;nBeech;nFir;nTreesM2;hasLIDAR;dateLIDAR;LAI
bg_bas_m_4;;bg_bas_4;bg;bas;m;4;45.71178;6.21621;1004;285;17;314.159265358979;21;6;14;0.066845076098596;VRAI;26/06/2023;2.45183172685333
bg_bas_m_5;;bg_bas_5;bg;bas;m;5;45.71689;6.21854;980;340;18;314.159265358979;24;8;13;0.0763943726841098;VRAI;28/06/2023;1.57586915706254
bg_bas_ph_4;;bg_bas_4;bg;bas;ph;4;45.71184;6.21583;1013;280;14;314.159265358979;17;8;9;0.0541126806512444;VRAI;26/06/2023;3.00489058011515
bg_bas_sp_4;;bg_bas_4;bg;bas;sp;4;45.71201;6.21672;1058;300;22;314.159265358979;19;0;16;0.0604788783749202;VRAI;26/06/2023;2.36478552883034
bg_bas_sp_5;;bg_bas_5;bg;bas;sp;5;45.71685;6.2177;988;290;12;314.159265358979;24;2;20;0.0763943726841098;VRAI;28/06/2023;2.24652081658819
bg_haut_m_1;;bg_haut_1;bg;haut;m;1;45.70402;6.21721;1183;280;26;314.159265358979;30;7;19;0.0954929658551372;VRAI;27/06/2023;1.75806254104996
bg_haut_ph_1a;;bg_haut_1a;bg;haut;ph;1a;45.6991;6.21546;1242;280;26;314.159265358979;14;10;0;0.0445633840657307;VRAI;27/06/2023;2.54386709403756
bg_haut_ph_1b;;bg_haut_1b;bg;haut;ph;1b;45.69709;6.21387;1207;300;22;314.159265358979;36;31;1;0.114591559026165;VRAI;27/06/2023;2.52903325557724
bg_haut_sp_2;;bg_haut_2;bg;haut;sp;2;45.70822;6.22196;1167;270;20.5;314.159265358979;21;1;15;0.066845076098596;VRAI;27/06/2023;1.29928320064987
bg_inter_ph_3;;bg_inter_3;bg;inter;ph;3;45.70216;6.21306;1121;280;31;314.159265358979;55;53;0;0.175070437401085;FAUX;;2.95
vl_bas_m_3;;vl_bas_3;vl;bas;m;3;44.9355;5.28942;1191;340;11;314.159265358979;18;9;9;0.0572957795130823;VRAI;14/06/2022;2.67950648538622
vl_bas_m_4;;vl_bas_4;vl;bas;m;4;44.92044;5.29321;1290;270;20;314.159265358979;19;7;12;0.0604788783749202;FAUX;;2.95
vl_bas_ph_3;;vl_bas_3;vl;bas;ph;3;44.93641;5.29016;1190;340;16.5;314.159265358979;10;9;1;0.0318309886183791;VRAI;14/06/2022;3.72532905056165
vl_bas_ph_4;;vl_bas_4;vl;bas;ph;4;44.91629;5.29395;1315;280;10;314.159265358979;21;17;4;0.066845076098596;FAUX;;2.95
vl_bas_sp_3;;vl_bas_3;vl;bas;sp;3;44.93898;5.28516;1126;250;8;314.159265358979;18;0;18;0.0572957795130823;VRAI;14/06/2022;2.16114691279197
vl_haut_m_1;;vl_haut_1;vl;haut;m;1;44.90392;5.35273;1375;305;29;314.159265358979;38;20;15;0.12095775674984;VRAI;16/06/2022;1.06493030642787
vl_haut_ph_1;;vl_haut_1;vl;haut;ph;1;44.89961;5.34946;1431;315;19;314.159265358979;34;31;0;0.108225361302489;VRAI;16/06/2022;2.44788319139539
vl_haut_sp_1;;vl_haut_1;vl;haut;sp;1;44.9034;5.35171;1365;330;13;314.159265358979;30;0;29;0.0954929658551372;VRAI;15/06/2022;1.45483415433754
vl_inter_m_2;;vl_inter_2;vl;inter;m;2;44.93997;5.33055;1156;330;17;314.159265358979;16;8;8;0.0509295817894065;VRAI;15/06/2022;2.56390828950158
vl_112_m;vl_112_m;vl_inter_5;vl;inter;m;5;44.9563332;5.2974668;1250;20;20;314.159265358979;23;7;15;0.0732112738222719;VRAI;08/09/2022;1.79925439117128
vl_inter_ph_2;;vl_inter_2;vl;inter;ph;2;44.93614;5.3251;1171;330;9;314.159265358979;14;11;3;0.0445633840657307;VRAI;15/06/2022;3.65902846064377
vl_112_ph;vl_112_ph;vl_inter_5;vl;inter;ph;5;44.9555664;5.2968001;1253;320;21;314.159265358979;17;13;3;0.0541126806512444;VRAI;08/09/2022;3.16209413042394
vl_inter_sp_2;;vl_inter_2;vl;inter;sp;2;44.9472;5.32758;1084;270;8;314.159265358979;14;1;13;0.0445633840657307;VRAI;15/06/2022;3.37638548067569
vl_112_sp;vl_112_sp;vl_inter_5;vl;inter;sp;5;44.955265;5.2960167;1250;290;30;314.159265358979;14;2;12;0.0445633840657307;VRAI;08/09/2022;3.67567270848098
vtx_bas_m_4;vtx_bas_y_4;vtx_bas_4;vtx;bas;m;4;44.11369;5.14665;1031;300;22;314.159265358979;39;10;22;0.124140855611678;VRAI;19/07/2022;2.30596596285994
vtx_bas_ph_4;;vtx_bas_4;vtx;bas;ph;4;44.18501;5.23457;1040;330;29;314.159265358979;35;19;1;0.111408460164327;VRAI;20/07/2022;1.32705598069724
vtx_bas_sp_4;vtx_bas_x_4;vtx_bas_4;vtx;bas;sp;4;44.11395;5.1469;1007;325;26;314.159265358979;44;7;27;0.140056349920868;VRAI;19/07/2022;2.62676491747786
vtx_haut_m_1a;;vtx_haut_1a;vtx;haut;m;1a;44.17773;5.24139;1367;300;27;314.159265358979;27;20;7;0.0859436692696235;VRAI;18/07/2022;1.7196780445457
vtx_haut_m_1b;;vtx_haut_1b;vtx;haut;m;1b;44.17766;5.24056;1269;300;30;314.159265358979;26;19;7;0.0827605704077856;VRAI;18/07/2022;2.24258517756268
vtx_haut_ph_1a;;vtx_haut_1a;vtx;haut;ph;1a;44.178;5.24065;1333;307;31;314.159265358979;36;33;1;0.114591559026165;VRAI;18/07/2022;2.39564669097849
vtx_haut_ph_1b;;vtx_haut_1b;vtx;haut;ph;1b;44.17748;5.24014;1319;310;27;314.159265358979;32;31;1;0.101859163578813;VRAI;19/07/2022;3.23384303509178
vtx_haut_sp_1a;;vtx_haut_1a;vtx;haut;sp;1a;44.17842;5.24351;1375;335;27;314.159265358979;16;1;14;0.0509295817894065;VRAI;18/07/2022;2.95486795659973
vtx_haut_sp_1b;;vtx_haut_1b;vtx;haut;sp;1b;44.1746;5.23253;1330;325;22;314.159265358979;30;2;25;0.0954929658551372;FAUX;;2.95
vtx_inter_m_2;;vtx_inter_2;vtx;inter;m;2;44.18718;5.25248;1327;2;26;314.159265358979;37;14;21;0.117774657888003;VRAI;20/07/2022;1.56295611876928
vtx_inter_m_3;;vtx_inter_3;vtx;inter;m;3;44.19071;5.2552;1198;308;23;314.159265358979;46;22;9;0.146422547644544;VRAI;25/07/2022;2.11172735987747
vtx_inter_ph_2;;vtx_inter_2;vtx;inter;ph;2;44.18681;5.25272;1346;350;25;314.159265358979;20;19;1;0.0636619772367581;VRAI;20/07/2022;2.42732820330436
vtx_inter_ph_3;;vtx_inter_3;vtx;inter;ph;3;44.19062;5.25583;1203;310;22;314.159265358979;22;20;1;0.070028174960434;VRAI;25/07/2022;2.72065495056488
vtx_inter_sp_2;;vtx_inter_2;vtx;inter;sp;2;44.18721;5.25181;1310;350;31;314.159265358979;70;9;59;0.222816920328653;VRAI;20/07/2022;1.48333935017381
vtx_inter_sp_3;;vtx_inter_3;vtx;inter;sp;3;44.18803;5.25231;1266;350;31;314.159265358979;15;1;13;0.0477464829275686;VRAI;25/07/2022;2.22806081881405
